EntrezGeneID	Annotation
aten_0.1.m1.319.m1	RNA-directed DNA polymerase from transposon X-element
aten_0.1.m1.3190.m1	PREDICTED: uncharacterized protein LOC107355571
aten_0.1.m1.31900.m1	---NA---
aten_0.1.m1.31901.m1	hypothetical protein AWC38_SpisGene19627
aten_0.1.m1.31902.m1	ATP-dependent DNA helicase Q1
aten_0.1.m1.31903.m1	Integrase recombinase xerD-like
aten_0.1.m1.31904.m1	Retrovirus-related Pol poly from transposon TNT 1-94
aten_0.1.m1.31905.m1	PREDICTED: uncharacterized protein LOC107333201
aten_0.1.m1.31906.m1	zinc finger 862-like
aten_0.1.m1.31907.m1	PREDICTED: uncharacterized protein LOC107352974
aten_0.1.m1.31908.m1	Retrovirus-related Pol poly
aten_0.1.m1.31909.m1	N-lysine methyltransferase SETD8-B-like
aten_0.1.m1.31910.m1	PREDICTED: uncharacterized protein LOC107334001
aten_0.1.m1.31912.m1	and pleckstrin domain-containing 2
aten_0.1.m1.31913.m1	Serine threonine- kinase Chk2
aten_0.1.m1.31915.m1	PREDICTED: uncharacterized protein LOC107348304
aten_0.1.m1.31918.m1	and pleckstrin domain-containing 2-like
aten_0.1.m1.31919.m1	and pleckstrin domain-containing 2-like
aten_0.1.m1.3192.m1	glutamate synthase [NADPH]
aten_0.1.m1.31920.m1	PREDICTED: uncharacterized protein LOC107329006
aten_0.1.m1.31921.m1	serine threonine- kinase PRP4 homolog
aten_0.1.m1.31924.m1	---NA---
aten_0.1.m1.31925.m1	PREDICTED: uncharacterized protein LOC107356816
aten_0.1.m1.31927.m1	Transcription initiation factor TFIID subunit
aten_0.1.m1.31929.m1	mediator of RNA polymerase II transcription subunit 34-like
aten_0.1.m1.3193.m1	probable ATP-dependent RNA helicase DDX10
aten_0.1.m1.31931.m1	Werner syndrome ATP-dependent helicase
aten_0.1.m1.31932.m1	Chromatin modification-related YNG2
aten_0.1.m1.31933.m1	Chromatin modification-related YNG2
aten_0.1.m1.31935.m1	PREDICTED: uncharacterized protein K02A2.6-like
aten_0.1.m1.31937.m1	---NA---
aten_0.1.m1.3194.m1	coiled-coil domain-containing 58-like
aten_0.1.m1.31940.m1	THAP domain-containing 2
aten_0.1.m1.31943.m1	mediator of RNA polymerase II transcription subunit 34-like
aten_0.1.m1.31945.m1	piggyBac transposable element-derived 4-like
aten_0.1.m1.31946.m1	PREDICTED: uncharacterized protein LOC107356816
aten_0.1.m1.31947.m1	Kelch 28
aten_0.1.m1.31948.m1	LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
aten_0.1.m1.31949.m1	piggyBac transposable element-derived 4-like
aten_0.1.m1.3195.m1	alpha-(1,3)-fucosyltransferase 10-like
aten_0.1.m1.31950.m1	PREDICTED: uncharacterized protein LOC107328277
aten_0.1.m1.31951.m1	PREDICTED: uncharacterized protein LOC107352247
aten_0.1.m1.31952.m1	ATP-dependent DNA helicase Q1
aten_0.1.m1.31953.m1	LOW QUALITY PROTEIN: uncharacterized protein LOC111321026
aten_0.1.m1.31954.m1	PREDICTED: uncharacterized protein LOC107328072
aten_0.1.m1.31955.m1	RNA-directed DNA polymerase from mobile element jockey-like
aten_0.1.m1.31958.m1	PREDICTED: uncharacterized protein LOC107355484
aten_0.1.m1.31959.m1	hypothetical protein AC249_AIPGENE23001, partial
aten_0.1.m1.31960.m1	Transposon Ty3-I Gag-Pol poly
aten_0.1.m1.31963.m1	PREDICTED: uncharacterized protein LOC107334240 isoform X1
aten_0.1.m1.31965.m1	---NA---
aten_0.1.m1.31966.m1	TNF receptor-associated factor 5-like isoform X2
aten_0.1.m1.31967.m1	PREDICTED: uncharacterized protein LOC107327590
aten_0.1.m1.31969.m1	RNA-directed DNA polymerase from transposon X-element
aten_0.1.m1.31970.m1	sorting nexin-13-like
aten_0.1.m1.31971.m1	uncharacterized protein LOC110045209
aten_0.1.m1.31972.m1	hypothetical protein AC249_AIPGENE15557
aten_0.1.m1.31973.m1	glutamic acid-rich -like
aten_0.1.m1.31974.m1	hypothetical protein AC249_AIPGENE9566
aten_0.1.m1.31975.m1	Zinc finger MYM-type 1
aten_0.1.m1.31977.m1	Integrase recombinase xerD-like
aten_0.1.m1.31978.m1	hypothetical protein AC249_AIPGENE16426
aten_0.1.m1.31979.m1	RNA-directed DNA polymerase from mobile element jockey
aten_0.1.m1.3198.m1	cystatin-B-like
aten_0.1.m1.31980.m1	ATP-dependent DNA helicase -like
aten_0.1.m1.31981.m1	hypothetical protein AC249_AIPGENE12628
aten_0.1.m1.31982.m1	---NA---
aten_0.1.m1.31983.m1	RNA-directed DNA polymerase from transposon X-element
aten_0.1.m1.31985.m1	kinase C-binding NELL2-like
aten_0.1.m1.31986.m1	Tyrosine- kinase receptor Tie-1
aten_0.1.m1.31987.m1	latent-transforming growth factor beta-binding 4-like isoform X1
aten_0.1.m1.31988.m1	uncharacterized skeletal organic matrix 5-like
aten_0.1.m1.31989.m1	von Willebrand factor type EGF and pentraxin domain-containing 1-like isoform X1
aten_0.1.m1.3199.m1	cysteine and histidine-rich domain-containing 1-like
aten_0.1.m1.31990.m1	adhesion G -coupled receptor E1-like
aten_0.1.m1.31992.m1	neurogenic locus notch homolog 1-like
aten_0.1.m1.31993.m1	PREDICTED: uncharacterized protein LOC107335649
aten_0.1.m1.31994.m1	uncharacterized skeletal organic matrix 5-like
aten_0.1.m1.31995.m1	fibrillin-1-like isoform X9
aten_0.1.m1.31996.m1	adhesion G -coupled receptor E1-like
aten_0.1.m1.31998.m1	---NA---
aten_0.1.m1.32.m1	allene oxide synthase-lipoxygenase -like
aten_0.1.m1.3200.m1	polyphosphoinositide phosphatase-like
aten_0.1.m1.32001.m1	Tolloid 2
aten_0.1.m1.32003.m1	transcription factor E2F3-like
aten_0.1.m1.32004.m1	fibrillin-1-like isoform X9
aten_0.1.m1.32005.m1	neurogenic locus notch homolog 1-like
aten_0.1.m1.32006.m1	neurogenic locus notch homolog 1-like
aten_0.1.m1.32007.m1	LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
aten_0.1.m1.32008.m1	neurogenic locus notch homolog 1-like
aten_0.1.m1.32009.m1	PREDICTED: fibrillin-1-like
aten_0.1.m1.3201.m1	PREDICTED: uncharacterized protein LOC107355583 isoform X1
aten_0.1.m1.32010.m1	latent-transforming growth factor beta-binding 4-like isoform X1
aten_0.1.m1.32011.m1	germinal-center associated nuclear -like
aten_0.1.m1.32012.m1	neurocan core -like isoform X2
aten_0.1.m1.32013.m1	neurocan core -like isoform X2
aten_0.1.m1.32014.m1	neurocan core -like isoform X2
aten_0.1.m1.32015.m1	neurocan core -like isoform X2
aten_0.1.m1.32016.m1	Sorting nexin-11
aten_0.1.m1.32017.m1	PREDICTED: uncharacterized protein LOC107353207
aten_0.1.m1.32019.m1	uncharacterized protein LOC110059606, partial
aten_0.1.m1.3202.m1	PREDICTED: uncharacterized protein LOC107355583 isoform X1
aten_0.1.m1.32020.m1	Sorting nexin-11
aten_0.1.m1.32021.m1	neurocan core -like isoform X2
aten_0.1.m1.32022.m1	ficolin-2-like isoform X1
aten_0.1.m1.32023.m1	ficolin-2-like isoform X1
aten_0.1.m1.32024.m1	SURP and G-patch domain-containing 1
aten_0.1.m1.32025.m1	neurocan core -like isoform X2
aten_0.1.m1.32026.m1	neurocan core -like isoform X2
aten_0.1.m1.32027.m1	macrophage mannose receptor 1-like
aten_0.1.m1.32028.m1	neurocan core -like isoform X2
aten_0.1.m1.32029.m1	SPRY domain-containing SOCS box 4
aten_0.1.m1.3203.m1	probable tubulin polyglutamylase TTLL2
aten_0.1.m1.32030.m1	macrophage mannose receptor 1-like
aten_0.1.m1.32031.m1	neurocan core -like isoform X2
aten_0.1.m1.32032.m1	N-acetyl-beta-glucosaminyl-glyco 4-beta-N-acetylgalactosaminyltransferase 1-like
aten_0.1.m1.32033.m1	neurocan core -like isoform X2
aten_0.1.m1.32036.m1	Sorting nexin-11
aten_0.1.m1.32037.m1	exonuclease R569
aten_0.1.m1.32038.m1	and pleckstrin domain-containing 2-like
aten_0.1.m1.32039.m1	exonuclease R569
aten_0.1.m1.3204.m1	ribosomal RNA-processing 14-C-like
aten_0.1.m1.32041.m1	PREDICTED: uncharacterized protein LOC107353207
aten_0.1.m1.32042.m1	vicilin-like seed storage At2g18540
aten_0.1.m1.32045.m1	G2 M phase-specific E3 ubiquitin- ligase-like
aten_0.1.m1.32046.m1	ARHGEF and pleckstrin domain-containing 2 isoform X1
aten_0.1.m1.32047.m1	PREDICTED: uncharacterized protein LOC107340272
aten_0.1.m1.32048.m1	Lysyl oxidase-like 4
aten_0.1.m1.32049.m1	uncharacterized protein LOC110249012
aten_0.1.m1.3205.m1	misato homolog 1-like
aten_0.1.m1.32050.m1	Carboxypeptidase N subunit 2
aten_0.1.m1.32051.m1	THAP domain-containing 2
aten_0.1.m1.32054.m1	glutamic acid-rich -like
aten_0.1.m1.32056.m1	nuclease HARBI1
aten_0.1.m1.32057.m1	PREDICTED: uncharacterized protein LOC107339198
aten_0.1.m1.32058.m1	LOW QUALITY PROTEIN: uncharacterized protein LOC110043832
aten_0.1.m1.32059.m1	uncharacterized protein LOC111321987
aten_0.1.m1.3206.m1	recQ-mediated genome instability 1
aten_0.1.m1.32060.m1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein F54H12.2-like
aten_0.1.m1.32061.m1	DNA polymerase
aten_0.1.m1.32062.m1	Eukaryotic translation initiation factor 2-alpha kinase 1
aten_0.1.m1.32063.m1	---NA---
aten_0.1.m1.32064.m1	hypothetical protein AWC38_SpisGene2724
aten_0.1.m1.32066.m1	Alkaline nuclease
aten_0.1.m1.32067.m1	lysophospholipase 1
aten_0.1.m1.32068.m1	sulfotransferase family cytosolic 1B member 1-like
aten_0.1.m1.3207.m1	gamma-aminobutyric acid type B receptor subunit 1-like
aten_0.1.m1.32070.m1	sulfotransferase 1C4-like
aten_0.1.m1.32071.m1	sulfotransferase family cytosolic 1B member 1-like
aten_0.1.m1.32072.m1	39S ribosomal mitochondrial-like
aten_0.1.m1.32073.m1	cholesterol 24-hydroxylase-like
aten_0.1.m1.32075.m1	neuropeptide Y receptor-like
aten_0.1.m1.32077.m1	Pogo transposable element with KRAB domain
aten_0.1.m1.32078.m1	G- -signaling modulator 1-like
aten_0.1.m1.32079.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.3208.m1	PREDICTED: uncharacterized protein LOC107347967
aten_0.1.m1.32080.m1	PREDICTED: uncharacterized protein LOC107344283
aten_0.1.m1.32082.m1	scavenger receptor cysteine-rich type 1 M130-like
aten_0.1.m1.32083.m1	tyrosine kinase receptor Cad96Ca-like
aten_0.1.m1.32085.m1	scavenger receptor cysteine-rich domain superfamily -like
aten_0.1.m1.32086.m1	scavenger receptor cysteine-rich type 1 M130-like
aten_0.1.m1.32089.m1	---NA---
aten_0.1.m1.3209.m1	TP53-regulated inhibitor of apoptosis 1-B-like
aten_0.1.m1.32090.m1	hypothetical protein AC249_AIPGENE24640
aten_0.1.m1.32091.m1	TNF receptor-associated factor 5-like isoform X2
aten_0.1.m1.32094.m1	RING finger and CHY zinc finger domain-containing 1
aten_0.1.m1.32096.m1	TNF receptor-associated factor 5-like
aten_0.1.m1.32097.m1	uncharacterized protein LOC111331240
aten_0.1.m1.32098.m1	predicted protein
aten_0.1.m1.32099.m1	scavenger receptor cysteine-rich domain superfamily -like
aten_0.1.m1.321.m1	uncharacterized protein LOC110043605 isoform X3
aten_0.1.m1.3210.m1	intraflagellar transport 88 homolog
aten_0.1.m1.32100.m1	PREDICTED: uncharacterized protein LOC107357107
aten_0.1.m1.32101.m1	Programmed cell death 10
aten_0.1.m1.32102.m1	inactive tyrosine- kinase 7-like
aten_0.1.m1.32103.m1	Carboxypeptidase N subunit 2
aten_0.1.m1.32105.m1	PREDICTED: uncharacterized protein LOC107358701 isoform X1
aten_0.1.m1.32106.m1	Golgi-associated plant pathogenesis-related 1
aten_0.1.m1.32107.m1	PREDICTED: uncharacterized protein LOC107346921
aten_0.1.m1.32108.m1	serine threonine- kinase A
aten_0.1.m1.3211.m1	serine arginine repetitive matrix 1-like isoform X1
aten_0.1.m1.32110.m1	Polycystic kidney disease 1-like 3
aten_0.1.m1.32111.m1	hypothetical protein AC249_AIPGENE15276
aten_0.1.m1.32113.m1	DBF4 homolog B-like
aten_0.1.m1.32114.m1	Werner syndrome ATP-dependent helicase homolog
aten_0.1.m1.32115.m1	PREDICTED: uncharacterized protein LOC107351155
aten_0.1.m1.32116.m1	PREDICTED: uncharacterized protein LOC107339733
aten_0.1.m1.32119.m1	nuclease HARBI1
aten_0.1.m1.3212.m1	neuropeptide FF receptor 2-like
aten_0.1.m1.32120.m1	PREDICTED: uncharacterized protein LOC107334790
aten_0.1.m1.32124.m1	PREDICTED: uncharacterized protein LOC107340014
aten_0.1.m1.32125.m1	PREDICTED: uncharacterized protein LOC107340453
aten_0.1.m1.32126.m1	LRR and PYD domains-containing 12
aten_0.1.m1.32129.m1	uncharacterized protein LOC110253750
aten_0.1.m1.32130.m1	LOW QUALITY PROTEIN: uncharacterized protein LOC111345462
aten_0.1.m1.32132.m1	LIGHT-DEPENDENT SHORT HYPOCOTYLS 5
aten_0.1.m1.32133.m1	P2X purinoceptor 7-like
aten_0.1.m1.32134.m1	52 kDa repressor of the inhibitor of the kinase-like
aten_0.1.m1.32135.m1	Exonuclease
aten_0.1.m1.32137.m1	piggyBac transposable element-derived 4-like
aten_0.1.m1.3214.m1	kinase C and casein kinase substrate in neurons 1-like
aten_0.1.m1.32140.m1	piggyBac transposable element-derived 4-like
aten_0.1.m1.32143.m1	RNA-directed DNA polymerase from mobile element jockey
aten_0.1.m1.32146.m1	PREDICTED: uncharacterized protein LOC107335436
aten_0.1.m1.32147.m1	PREDICTED: uncharacterized protein LOC107334284
aten_0.1.m1.32148.m1	regulator of G- signaling 19-like
aten_0.1.m1.32149.m1	endoplasmic reticulum aminopeptidase 1-like
aten_0.1.m1.3215.m1	dopey-1-like isoform X1
aten_0.1.m1.32150.m1	D(2) dopamine receptor A-like
aten_0.1.m1.32151.m1	D(2) dopamine receptor A-like
aten_0.1.m1.32152.m1	D(2) dopamine receptor A-like
aten_0.1.m1.32153.m1	D(2) dopamine receptor A-like
aten_0.1.m1.32154.m1	Monocarboxylate transporter 4
aten_0.1.m1.32155.m1	monocarboxylate transporter 10-like
aten_0.1.m1.32156.m1	transmembrane 68-like
aten_0.1.m1.32157.m1	transmembrane 68-like
aten_0.1.m1.32158.m1	serine threonine- phosphatase 6 regulatory ankyrin repeat subunit C-like
aten_0.1.m1.32159.m1	tetraspanin-9-like isoform X1
aten_0.1.m1.3216.m1	DDB1- and CUL4-associated factor 6-like
aten_0.1.m1.32160.m1	Low density lipo receptor adapter 1
aten_0.1.m1.32161.m1	GRB2-associated and regulator of MAPK
aten_0.1.m1.32162.m1	eukaryotic translation elongation factor 1 epsilon-1-like
aten_0.1.m1.32163.m1	Transcription elongation factor A 2
aten_0.1.m1.32164.m1	histone acetyltransferase KAT8-like
aten_0.1.m1.32165.m1	Polycomb group ASXL2
aten_0.1.m1.32167.m1	peroxidasin homolog
aten_0.1.m1.32168.m1	peroxidasin homolog
aten_0.1.m1.32169.m1	peroxidasin homolog
aten_0.1.m1.3217.m1	Formate acetyltransferase 2
aten_0.1.m1.32170.m1	peroxidasin homolog
aten_0.1.m1.32171.m1	basement membrane-specific heparan sulfate proteoglycan core -like
aten_0.1.m1.32172.m1	peroxidasin homolog
aten_0.1.m1.32173.m1	Mitochondrial chaperone BCS1
aten_0.1.m1.32174.m1	peroxidasin homolog
aten_0.1.m1.32175.m1	peroxidasin homolog
aten_0.1.m1.32176.m1	serine threonine- kinase Sgk1-like
aten_0.1.m1.32177.m1	collagen alpha-1(XIV) chain-like
aten_0.1.m1.32178.m1	XK-related 6
aten_0.1.m1.32179.m1	acetyl-coenzyme A cytoplasmic-like
aten_0.1.m1.3218.m1	transmembrane 117-like
aten_0.1.m1.32180.m1	serine threonine- kinase Sgk1-like
aten_0.1.m1.32181.m1	kintoun-like isoform X1
aten_0.1.m1.32182.m1	O-mannose kinase-like
aten_0.1.m1.32183.m1	XK-related 4-like
aten_0.1.m1.32184.m1	IQ motif and ankyrin repeat domain-containing isoform X1
aten_0.1.m1.32185.m1	D-amino-acid oxidase
aten_0.1.m1.32186.m1	Nucleolar 10
aten_0.1.m1.32187.m1	branchpoint-bridging -like
aten_0.1.m1.32189.m1	proto-oncogene tyrosine- kinase receptor Ret-like
aten_0.1.m1.3219.m1	serine threonine- kinase mos-like
aten_0.1.m1.32190.m1	hemicentin-1-like isoform X2
aten_0.1.m1.32191.m1	hemicentin-2-like isoform X8
aten_0.1.m1.32192.m1	hemicentin-2-like isoform X8
aten_0.1.m1.32194.m1	nuclease HARBI1
aten_0.1.m1.32196.m1	hemicentin-1-like isoform X1
aten_0.1.m1.32197.m1	hemicentin-1-like isoform X7
aten_0.1.m1.32199.m1	hemicentin-1-like isoform X20
aten_0.1.m1.322.m1	cGMP-inhibited 3 ,5 -cyclic phosphodiesterase A-like
aten_0.1.m1.3220.m1	E3 ubiquitin- ligase listerin-like
aten_0.1.m1.32200.m1	hemicentin-2-like isoform X1
aten_0.1.m1.32202.m1	proto-oncogene tyrosine- kinase receptor Ret-like
aten_0.1.m1.32203.m1	hemicentin-1-like isoform X1
aten_0.1.m1.32204.m1	hemicentin-2-like isoform X5
aten_0.1.m1.32205.m1	platelet-derived growth factor receptor alpha-like
aten_0.1.m1.32207.m1	fibroblast growth factor receptor 2-like
aten_0.1.m1.32208.m1	cilia- and flagella-associated 45-like
aten_0.1.m1.32209.m1	39S ribosomal mitochondrial-like
aten_0.1.m1.3221.m1	intersectin-1 isoform X1
aten_0.1.m1.32210.m1	lysine-specific demethylase 6A-like
aten_0.1.m1.32212.m1	sel-1 homolog 3-like
aten_0.1.m1.32213.m1	vang 2
aten_0.1.m1.32215.m1	roundabout homolog 2-like isoform X3
aten_0.1.m1.32216.m1	flocculation FLO11-like
aten_0.1.m1.32217.m1	dopamine receptor 2-like
aten_0.1.m1.32218.m1	nodal modulator 3-like
aten_0.1.m1.32219.m1	palmitoyltransferase ZDHHC3-like isoform X1
aten_0.1.m1.3222.m1	glyco endo-alpha-1,2-mannosidase
aten_0.1.m1.32222.m1	Retrovirus-related Pol poly from transposon
aten_0.1.m1.32223.m1	follistatin-related 4-like
aten_0.1.m1.32224.m1	follistatin-related 4-like
aten_0.1.m1.32225.m1	follistatin-related 4-like
aten_0.1.m1.32226.m1	follistatin-related 4-like
aten_0.1.m1.32227.m1	follistatin-related 4-like
aten_0.1.m1.32228.m1	CAD -like
aten_0.1.m1.32229.m1	dimethlysulfonioproprionate lyase 7-like
aten_0.1.m1.3223.m1	alpha-1,3-mannosyl-glyco 4-beta-N-acetylglucosaminyltransferase C-like
aten_0.1.m1.32230.m1	PREDICTED: uncharacterized protein LOC107346952
aten_0.1.m1.32231.m1	dimethlysulfonioproprionate lyase 7-like
aten_0.1.m1.32232.m1	dimethlysulfonioproprionate lyase 7-like
aten_0.1.m1.32234.m1	PREDICTED: uncharacterized protein LOC107340345 isoform X2
aten_0.1.m1.32236.m1	AP-1 complex subunit beta-1-like
aten_0.1.m1.32238.m1	failed axon connections homolog
aten_0.1.m1.32239.m1	tubulin alpha-1D chain-like
aten_0.1.m1.3224.m1	RNA-directed DNA polymerase from transposon X-element
aten_0.1.m1.32240.m1	acid-sensing ion channel 3-like
aten_0.1.m1.32241.m1	C6orf62 like
aten_0.1.m1.32242.m1	glutathione gamma-glutamylcysteinyltransferase-like
aten_0.1.m1.32243.m1	Mitochondrial ubiquitin ligase activator of NFKB 1
aten_0.1.m1.32244.m1	merlin-like isoform X1
aten_0.1.m1.32245.m1	transmembrane 234 homolog isoform X2
aten_0.1.m1.32247.m1	transmembrane 214-B-like
aten_0.1.m1.32248.m1	cytosolic phospholipase A2-like
aten_0.1.m1.32249.m1	latent-transforming growth factor beta-binding 1-like
aten_0.1.m1.32250.m1	PREDICTED: uncharacterized protein LOC107347326
aten_0.1.m1.32251.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.32252.m1	valacyclovir hydrolase-like
aten_0.1.m1.32253.m1	nucleolar GTP-binding 2-like
aten_0.1.m1.32254.m1	nucleolar 4-like
aten_0.1.m1.32255.m1	TSSC1 isoform X1
aten_0.1.m1.32256.m1	FAM49B isoform X2
aten_0.1.m1.32257.m1	leukocyte tyrosine kinase receptor-like
aten_0.1.m1.32258.m1	ALK tyrosine kinase receptor-like
aten_0.1.m1.32260.m1	Endonuclease domain-containing 1
aten_0.1.m1.32261.m1	endonuclease domain-containing 1 -like
aten_0.1.m1.32262.m1	phosphate carrier mitochondrial-like
aten_0.1.m1.32263.m1	sorting nexin-32-like
aten_0.1.m1.32264.m1	piggyBac transposable element-derived 4-like
aten_0.1.m1.32265.m1	PREDICTED: uncharacterized protein LOC107356576
aten_0.1.m1.32267.m1	tyrosine- phosphatase non-receptor type 18-like
aten_0.1.m1.32268.m1	TNF receptor-associated factor family DDB_G0272348-like
aten_0.1.m1.32269.m1	homeobox aristaless-like
aten_0.1.m1.3227.m1	L-amino-acid oxidase-like
aten_0.1.m1.32270.m1	---NA---
aten_0.1.m1.32272.m1	paired box Pax-3-like
aten_0.1.m1.32273.m1	VPRBP-like isoform X3
aten_0.1.m1.32274.m1	VPRBP-like isoform X1
aten_0.1.m1.32275.m1	VPRBP-like isoform X1
aten_0.1.m1.32277.m1	sperm flagellar 2 isoform X1
aten_0.1.m1.32278.m1	RNA-directed DNA polymerase from transposon BS
aten_0.1.m1.3228.m1	Eukaryotic translation initiation factor X-chromosomal
aten_0.1.m1.32280.m1	paired box Pax-3-like
aten_0.1.m1.32281.m1	VPRBP-like isoform X3
aten_0.1.m1.32282.m1	VPRBP-like isoform X3
aten_0.1.m1.32283.m1	VPRBP-like isoform X2
aten_0.1.m1.32287.m1	ATP-dependent DNA helicase hus2 rqh1-like
aten_0.1.m1.32288.m1	zinc finger 862-like
aten_0.1.m1.3229.m1	NACHT and WD repeat domain-containing 2-like
aten_0.1.m1.32292.m1	VPRBP-like isoform X1
aten_0.1.m1.32293.m1	VPRBP-like isoform X3
aten_0.1.m1.32294.m1	VPRBP-like isoform X3
aten_0.1.m1.32296.m1	VPRBP-like isoform X3
aten_0.1.m1.32298.m1	Integrase recombinase xerD-like
aten_0.1.m1.32299.m1	myb X
aten_0.1.m1.323.m1	tetraspanin-5-like isoform X1
aten_0.1.m1.3230.m1	trafficking particle complex subunit 10-like
aten_0.1.m1.32300.m1	scavenger receptor cysteine-rich type 1 M130-like
aten_0.1.m1.32301.m1	inactive tyrosine- kinase 7-like
aten_0.1.m1.32302.m1	peroxidasin homolog
aten_0.1.m1.32303.m1	PREDICTED: uncharacterized protein LOC107354962
aten_0.1.m1.32304.m1	Transposon Ty3-G Gag-Pol poly
aten_0.1.m1.32305.m1	scavenger receptor cysteine-rich type 1 M130-like
aten_0.1.m1.32306.m1	Collagen 7
aten_0.1.m1.32308.m1	RNA-directed DNA polymerase from transposon X-element
aten_0.1.m1.32309.m1	Tyrosine- phosphatase non-receptor type 12
aten_0.1.m1.32311.m1	PREDICTED: uncharacterized protein LOC107350940
aten_0.1.m1.32312.m1	RNA-directed DNA polymerase from mobile element jockey
aten_0.1.m1.32313.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.32315.m1	UPF0577 KIAA1324-like
aten_0.1.m1.32316.m1	sulfotransferase 1C2-like
aten_0.1.m1.32317.m1	sulfotransferase family cytosolic 1B member 1-like
aten_0.1.m1.3232.m1	endoribonuclease ZC3H12A-like isoform X2
aten_0.1.m1.32322.m1	sulfotransferase family cytosolic 1B member 1-like
aten_0.1.m1.32323.m1	cholesterol 24-hydroxylase-like
aten_0.1.m1.32324.m1	cholesterol 24-hydroxylase-like
aten_0.1.m1.32325.m1	G- -signaling modulator 1-like
aten_0.1.m1.32326.m1	39S ribosomal mitochondrial-like
aten_0.1.m1.32327.m1	39S ribosomal mitochondrial-like
aten_0.1.m1.32328.m1	sulfotransferase family cytosolic 1B member 1-like
aten_0.1.m1.32329.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.32330.m1	---NA---
aten_0.1.m1.32331.m1	uncharacterized protein LOC110047583
aten_0.1.m1.32333.m1	lysophospholipase 1
aten_0.1.m1.32334.m1	Bloom syndrome homolog
aten_0.1.m1.32336.m1	PREDICTED: uncharacterized protein LOC107351689
aten_0.1.m1.32337.m1	lysophospholipase 1
aten_0.1.m1.32338.m1	RYamide receptor-like
aten_0.1.m1.32340.m1	PREDICTED: uncharacterized protein LOC107358701 isoform X2
aten_0.1.m1.32341.m1	PREDICTED: uncharacterized protein LOC107351346
aten_0.1.m1.32343.m1	PREDICTED: uncharacterized protein LOC107328277
aten_0.1.m1.32344.m1	PREDICTED: uncharacterized protein LOC107329006
aten_0.1.m1.32346.m1	transposase HI-
aten_0.1.m1.32347.m1	PREDICTED: uncharacterized protein LOC107339631
aten_0.1.m1.32348.m1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107342636
aten_0.1.m1.32349.m1	PREDICTED: uncharacterized protein LOC107354627
aten_0.1.m1.3235.m1	Prefoldin subunit 3
aten_0.1.m1.32352.m1	PREDICTED: uncharacterized protein LOC107334045
aten_0.1.m1.32353.m1	diacyglycerol O-acyltransferase MT1468
aten_0.1.m1.32354.m1	zinc transporter 6-like
aten_0.1.m1.32355.m1	zinc transporter 6-like isoform X1
aten_0.1.m1.32360.m1	LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
aten_0.1.m1.32361.m1	PREDICTED: uncharacterized protein LOC107351658
aten_0.1.m1.32362.m1	RNA-binding 25-like isoform X1
aten_0.1.m1.32363.m1	conserved oligomeric Golgi complex subunit 2-like
aten_0.1.m1.32364.m1	PREDICTED: uncharacterized protein K02A2.6-like
aten_0.1.m1.3237.m1	quinone oxidoreductase 1
aten_0.1.m1.32371.m1	CEBPZOS isoform X1
aten_0.1.m1.32374.m1	probable chromo domain-containing LHP1
aten_0.1.m1.32376.m1	uncharacterized protein LOC110056420
aten_0.1.m1.32378.m1	Integrator complex subunit 2
aten_0.1.m1.32379.m1	tyrosine aminotransferase-like
aten_0.1.m1.3238.m1	PREDICTED: uncharacterized protein LOC107329823
aten_0.1.m1.32380.m1	probable serine threonine- kinase irlF
aten_0.1.m1.32381.m1	solute carrier family facilitated glucose transporter member 12-like
aten_0.1.m1.32382.m1	vegetative incompatibility HET-E-1-like
aten_0.1.m1.32383.m1	Krueppel-like factor 11 isoform X1
aten_0.1.m1.32384.m1	ornithine decarboxylase-like
aten_0.1.m1.32385.m1	Meckel syndrome type 1 -like
aten_0.1.m1.32386.m1	substance-P receptor-like
aten_0.1.m1.32387.m1	cytosolic carboxypeptidase 5
aten_0.1.m1.32388.m1	ALK tyrosine kinase receptor-like
aten_0.1.m1.32389.m1	ATP-dependent RNA helicase DHX36
aten_0.1.m1.3239.m1	solute carrier family 28 member 3-like
aten_0.1.m1.32390.m1	GPN-loop GTPase 3-like
aten_0.1.m1.32391.m1	ATP-dependent RNA helicase DHX36
aten_0.1.m1.32392.m1	F-box only 36-like
aten_0.1.m1.32393.m1	Ubiquitin-conjugating enzyme E2 L3
aten_0.1.m1.32394.m1	Golgi-associated plant pathogenesis-related 1
aten_0.1.m1.32395.m1	Rieske domain-containing
aten_0.1.m1.32396.m1	ALK tyrosine kinase receptor-like
aten_0.1.m1.32397.m1	ALK tyrosine kinase receptor-like
aten_0.1.m1.32398.m1	ALK tyrosine kinase receptor-like
aten_0.1.m1.32399.m1	nuclease HARBI1
aten_0.1.m1.324.m1	calcium calmodulin-dependent kinase type II alpha chain-like
aten_0.1.m1.3240.m1	THAP domain-containing 3
